P5940:R0=0    
P5940:R517=22.7376    P5940:R518=22.7596    P5940:R519=22.7816    P5940:R520=22.8035    
P5940:R521=22.8254    P5940:R522=22.8473    P5940:R523=22.8692    P5940:R524=22.891    
P5940:R525=22.9129    P5940:R526=22.9347    P5940:R527=22.9565    P5940:R528=22.9783    
P5940:R529=23    P5940:R530=23.0217    P5940:R531=23.0434    P5940:R532=23.0651    
P5940:R533=23.0868    P5940:R534=23.1084    P5940:R535=23.1301    P5940:R536=23.1517    
P5940:R537=23.1733    P5940:R538=23.1948    P5940:R539=23.2164    P5940:R540=23.2379    
P5940:R541=23.2594    P5940:R542=23.2809    P5940:R543=23.3024    P5940:R544=23.3238    
P5940:R545=23.3452    P5940:R546=23.3666    P5940:R547=23.388    P5940:R548=23.4094    
P5940:R549=23.4307    P5940:R550=23.4521    P5940:R551=23.4734    P5940:R552=23.4947    
P5940:R553=23.516    P5940:R554=23.5372    P5940:R555=23.5584    P5940:R556=23.5797    
P5940:R557=23.6008    P5940:R558=23.622    P5940:R559=23.6432    P5940:R560=23.6643    
P5940:R561=23.6854    P5940:R562=23.7065    P5940:R563=23.7276    P5940:R564=23.7487    
P5940:R565=23.7697    P5940:R566=23.7908    P5940:R567=23.8118    P5940:R568=23.8328    
P5940:R569=23.8537    P5940:R570=23.8747    P5940:R571=23.8956    P5940:R572=23.9165    
P5940:R573=23.9374    P5940:R574=23.9583    P5940:R575=23.9792    P5940:R576=24    
P5940:R577=24.0208    P5940:R578=24.0416    P5940:R579=24.0624    P5940:R580=24.0832    
P5940:R581=24.1039    P5940:R582=24.1247    P5940:R583=24.1454    P5940:R584=24.1661    
P5940:R585=24.1868    P5940:R586=24.2074    P5940:R587=24.2281    P5940:R588=24.2487    
P5940:R589=24.2693    P5940:R590=24.2899    P5940:R591=24.3105    P5940:R592=24.3311    
P5940:R593=24.3516    P5940:R594=24.3721    P5940:R595=24.3926    P5940:R596=24.4131    
P5940:R597=24.4336    P5940:R598=24.454    P5940:R599=24.4745    P5940:R600=24.4949    
P5940:R601=24.5153    P5940:R602=24.5357    P5940:R603=24.5561    P5940:R604=24.5764    
P5940:R605=24.5967    P5940:R606=24.6171    P5940:R607=24.6374    P5940:R608=24.6577    
P5940:R609=24.6779    P5940:R610=24.6982    P5940:R611=24.7184    P5940:R612=24.7386    
P5940:R613=24.7588    P5940:R614=24.779    P5940:R615=24.7992    P5940:R616=24.8193    
P5940:R617=24.8395    P5940:R618=24.8596    P5940:R619=24.8797    P5940:R620=24.8998    
P5940:R621=24.9199    P5940:R622=24.9399    P5940:R623=24.96    P5940:R624=24.98    
P5940:R625=25    P5940:R626=25.02    P5940:R627=25.04    P5940:R628=25.0599    
P5940:R629=25.0799    P5940:R630=25.0998    P5940:R631=25.1197    P5940:R632=25.1396    
P5940:R633=25.1595    P5940:R634=25.1794    P5940:R635=25.1992    P5940:R636=25.219    
P5940:R637=25.2389    P5940:R638=25.2587    P5940:R639=25.2784    P5940:R640=25.2982    
P5940:R641=25.318    P5940:R642=25.3377    P5940:R643=25.3574    P5940:R644=25.3772    
P5940:R645=25.3969    P5940:R646=25.4165    P5940:R647=25.4362    P5940:R648=25.4558    
P5940:R649=25.4755    P5940:R650=25.4951    P5940:R651=25.5147    P5940:R652=25.5343    
P5940:R653=25.5539    P5940:R654=25.5734    P5940:R655=25.593    P5940:R656=25.6125    
P5940:R657=25.632    P5940:R658=25.6515    P5940:R659=25.671    P5940:R660=25.6905    
P5940:R661=25.7099    P5940:R662=25.7294    P5940:R663=25.7488    P5940:R664=25.7682    
P5940:R665=25.7876    P5940:R666=25.807    P5940:R667=25.8263    P5940:R668=25.8457    
P5940:R669=25.865    P5940:R670=25.8844    P5940:R671=25.9037    P5940:R672=25.923    
P5940:R673=25.9422    P5940:R674=25.9615    P5940:R675=25.9808    P5940:R676=26    
P5940:R677=26.0192    P5940:R678=26.0384    P5940:R679=26.0576    P5940:R680=26.0768    
P5940:R681=26.096    P5940:R682=26.1151    P5940:R683=26.1343    P5940:R684=26.1534    
P5940:R685=26.1725    P5940:R686=26.1916    P5940:R687=26.2107    P5940:R688=26.2298    
P5940:R689=26.2488    P5940:R690=26.2679    P5940:R691=26.2869    P5940:R692=26.3059    
P5940:R693=26.3249    P5940:R694=26.3439    P5940:R695=26.3629    P5940:R696=26.3818    
P5940:R697=26.4008    P5940:R698=26.4197    P5940:R699=26.4386    P5940:R700=26.4575    
P5940:R701=26.4764    P5940:R702=26.4953    P5940:R703=26.5141    P5940:R704=26.533    
P5940:R705=26.5518    P5940:R706=26.5707    P5940:R707=26.5895    P5940:R708=26.6083    
P5940:R709=26.6271    P5940:R710=26.6458    P5940:R711=26.6646    P5940:R712=26.6833    
P5940:R713=26.7021    P5940:R714=26.7208    P5940:R715=26.7395    P5940:R716=26.7582    
P5940:R717=26.7769    P5940:R718=26.7955    P5940:R719=26.8142    P5940:R720=26.8328    
P5940:R721=26.8514    P5940:R722=26.8701    P5940:R723=26.8887    P5940:R724=26.9072    
P5940:R725=26.9258    P5940:R726=26.9444    P5940:R727=26.9629    P5940:R728=26.9815    
P5940:R729=27    P5940:R730=27.0185    P5940:R731=27.037    P5940:R732=27.0555    
P5940:R733=27.074    P5940:R734=27.0924    P5940:R735=27.1109    P5940:R736=27.1293    
P5940:R737=27.1477    P5940:R738=27.1662    P5940:R739=27.1846    P5940:R740=27.2029    
P5940:R741=27.2213    P5940:R742=27.2397    P5940:R743=27.258    P5940:R744=27.2764    
P5940:R745=27.2947    P5940:R746=27.313    P5940:R747=27.3313    P5940:R748=27.3496    
P5940:R749=27.3679    P5940:R750=27.3861    P5940:R751=27.4044    P5940:R752=27.4226    
P5940:R753=27.4408    P5940:R754=27.4591    P5940:R755=27.4773    P5940:R756=27.4955    
P5940:R757=27.5136    P5940:R758=27.5318    P5940:R759=27.55    P5940:R760=27.5681    
P5940:R761=27.5862    P5940:R762=27.6043    P5940:R763=27.6225    P5940:R764=27.6405    
P5940:R765=27.6586    P5940:R766=27.6767    P5940:R767=27.6948    P5940:R768=27.7128    
P5940:R769=27.7308    P5940:R770=27.7489    P5940:R771=27.7669    P5940:R772=27.7849    
P5940:R773=27.8029    P5940:R774=27.8209    P5940:R775=27.8388    P5940:R776=27.8568    
P5940:R777=27.8747    P5940:R778=27.8927    P5940:R779=27.9106    P5940:R780=27.9285    
P5940:R781=27.9464    P5940:R782=27.9643    P5940:R783=27.9821    P5940:R784=28    
P5940:R785=28.0179    P5940:R786=28.0357    P5940:R787=28.0535    P5940:R788=28.0713    
P5940:R789=28.0891    P5940:R790=28.1069    P5940:R791=28.1247    P5940:R792=28.1425    
P5940:R793=28.1603    P5940:R794=28.178    P5940:R795=28.1957    P5940:R796=28.2135    
P5940:R797=28.2312    P5940:R798=28.2489    P5940:R799=28.2666    P5940:R800=28.2843    
P5940:R801=28.3019    P5940:R802=28.3196    P5940:R803=28.3373    P5940:R804=28.3549    
P5940:R805=28.3725    P5940:R806=28.3901    P5940:R807=28.4077    P5940:R808=28.4253    
P5939:R0=0    
P5939:R1=1    P5939:R2=1.41421    P5939:R3=1.73205    P5939:R4=2    
P5939:R5=2.23607    P5939:R6=2.44949    P5939:R7=2.64575    P5939:R8=2.82843    
P5939:R9=3    P5939:R10=3.16228    P5939:R11=3.31662    P5939:R12=3.4641    
P5939:R13=3.60555    P5939:R14=3.74166    P5939:R15=3.87298    P5939:R16=4    
P5939:R17=4.12311    P5939:R18=4.24264    P5939:R19=4.3589    P5939:R20=4.47214    
P5939:R21=4.58258    P5939:R22=4.69042    P5939:R23=4.79583    P5939:R24=4.89898    
P5939:R25=5    P5939:R26=5.09902    P5939:R27=5.19615    P5939:R28=5.2915    
P5939:R29=5.38516    P5939:R30=5.47723    P5939:R31=5.56776    P5939:R32=5.65685    
P5939:R33=5.74456    P5939:R34=5.83095    P5939:R35=5.91608    P5939:R36=6    
P5939:R37=6.08276    P5939:R38=6.16441    P5939:R39=6.245    P5939:R40=6.32456    
P5939:R41=6.40312    P5939:R42=6.48074    P5939:R43=6.55744    P5939:R44=6.63325    
P5939:R45=6.7082    P5939:R46=6.78233    P5939:R47=6.85565    P5939:R48=6.9282    
P5939:R49=7    P5939:R50=7.07107    P5939:R51=7.14143    P5939:R52=7.2111    
